id,email,full_name,specialization,hospital_id
37eec30d-ddcd-40dc-98f7-41f65410d29f,premalatha.rc@hospital31477.com,Premalatha N,Obstetrics and Gynaecology,296aadc6-3da0-44db-a0dc-4029e76fb344
73ee6024-cfad-4215-8821-495ad864b14f,paulvannan.rc@hospital31477.com,Paulvannan S,Surgical Gastroenterology,296aadc6-3da0-44db-a0dc-4029e76fb344
c4e71389-47d2-4e67-805d-17fe5f8ca593,mahadevan.rc@hospital31477.com,Mahadevan S,Pulmonologist,296aadc6-3da0-44db-a0dc-4029e76fb344
1f1c182d-28de-44c4-b39a-1f865aa23cce,paranthaman.rc@hospital31477.com,Paranthaman Sethupathi,Psychiatry,296aadc6-3da0-44db-a0dc-4029e76fb344
ecddfa4d-ee9e-4421-9370-e77241a9f35d,doctor1.lotus@hospital31478.com,Doctor 1,Orthopedician,19e4fbca-d4f5-4947-b7b2-40f9cf0265c5
2514ce6e-497a-44e4-8cca-6df802325e5d,shruthirajendran@hospital31478.com,Shruthi Rajendran,IVF Care Specialist,19e4fbca-d4f5-4947-b7b2-40f9cf0265c5
397f4efe-fd79-41d1-9b0b-d3cc884cda62,doctor.sks@hospital31479.com,Doctor SKS,General Medicine,8deac503-18e0-4273-914f-8374d59af4c7
b4ed89cd-bbc2-4cbb-b79e-659e1dda38b6,suresh.sks@hospital31479.com,Suresh DV,Pediatrician,8deac503-18e0-4273-914f-8374d59af4c7
b56cc4ce-4fea-496e-9d63-0461d2fe1dfc,rajasekar.sudha@hospital31468.com,Rajasekar N,Cardiology,3d63d3d3-29e1-44c6-a4cc-cbb7684e01b2
d94f2157-3e38-4df6-8d61-984b4109a0c8,kathirvel@hospital31480.com,Kathir S,Pediatrics,b3577c93-e336-48a4-a29a-b462ae5efbaf
1c863f41-b170-4b0a-9328-5644a22d0c61,doctor313@hospital31481.com,Doctor 313,General Medicine,d52fbe3a-4ad8-4bd3-86fc-dbc9cde347e8
9f4a3c73-5bf3-4445-afc9-74fc08d9da32,doctor314@hospital31481.com,Doctor 314,General Medicine,d52fbe3a-4ad8-4bd3-86fc-dbc9cde347e8
aef6a2cf-b6b5-4471-b0e8-a66ca5cdea24,doctor315@hospital31481.com,Doctor 315,General Medicine,d52fbe3a-4ad8-4bd3-86fc-dbc9cde347e8
2299c586-4d83-4177-a5b9-cf067e827438,doctor316@hospital31481.com,Doctor 316,General Medicine,d52fbe3a-4ad8-4bd3-86fc-dbc9cde347e8
310887c3-7464-4efb-91ab-d49ec07ac585,velayutham.rc@hospital31477.com,Velayutham P,Endocrinology,296aadc6-3da0-44db-a0dc-4029e76fb344
d369039d-f8a1-4dd1-a8ce-c9414384e21b,srujun.rc@hospital31477.com,Srujun Vadranapu,Orthopedics,296aadc6-3da0-44db-a0dc-4029e76fb344
3bb169b5-b256-4142-a188-59b153e25323,doctor213.ramakrishna@hospital31482.com,Doctor 213,General Medicine,7920d1c0-3cb0-4f97-9797-f0204fb8c84e
0d6a4cf6-af60-470e-ab30-2f55f0dcad6d,doctor214.ramakrishna@hospital31482.com,Doctor 214,General Medicine,7920d1c0-3cb0-4f97-9797-f0204fb8c84e
98874ddc-95ec-4d51-ab75-18e60a6af1cb,doctor123.kmch@hospital31483.com,Doctor 123,General Medicine,feacebcb-1d2d-44ad-a259-b1d71d7609eb
dc28d6e3-9867-4676-b5fe-0d8f916725aa,doctor124.kmch@hospital31483.com,Doctor 124,General Medicine,feacebcb-1d2d-44ad-a259-b1d71d7609eb
2d0cd797-fbf4-4fc7-9ace-63d934c64e59,murugan.emc@hospital31484.com,Muruguan S,Cardiology,d18414c0-bdd9-4a2e-b423-ba5bd32355fd
648be1e8-1c17-40f7-8e7c-7a71ba574a90,sridhar.gem@hospital31485.com,Sridhar C G,Gastroenterology,ae514e2e-1146-4131-81a4-25b207bd31bb
28e1e676-6176-49aa-953b-3ce53f95a62d,doctor215.srh@hospital31482.com,Doctor 215,General Medicine,7920d1c0-3cb0-4f97-9797-f0204fb8c84e
2e8fc7a4-823a-4448-b2cf-22953860cae5,doctor216.srh@hospital31482.com,Doctor 216,General Medicine,7920d1c0-3cb0-4f97-9797-f0204fb8c84e
2068554d-fca9-416e-a259-6666a5ce7c30,doctor217.srh@hospital31482.com,Doctor 217,General Medicine,7920d1c0-3cb0-4f97-9797-f0204fb8c84e
